,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.960960960960961,0.8490566037735849,0.95,0.9460093896713615,0.9200058549115152,0.9446444983383595
recall,0.9815950920245399,0.7758620689655172,0.9047619047619048,0.9460093896713615,0.887406355250654,0.9460093896713615
f1-score,0.9711684370257967,0.8108108108108109,0.926829268292683,0.9460093896713615,0.9029361720430967,0.9449642412341066
support,326.0,58.0,42.0,0.9460093896713615,426.0,426.0
