,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9486404833836858,0.7454545454545455,0.9,0.9178403755868545,0.8646983429460771,0.9161811296231108
recall,0.9631901840490797,0.7068965517241379,0.8571428571428571,0.9178403755868545,0.8424098643053582,0.9178403755868545
f1-score,0.9558599695585996,0.7256637168141593,0.8780487804878049,0.9178403755868545,0.8531908222868546,0.916847170027729
support,326.0,58.0,42.0,0.9178403755868545,426.0,426.0
