,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9402985074626866,0.8163265306122449,0.9047619047619048,0.9225352112676056,0.8871289809456121,0.9199160849961174
recall,0.9662576687116564,0.6896551724137931,0.9047619047619048,0.9225352112676056,0.8535582486291181,0.9225352112676056
f1-score,0.9531013615733737,0.7476635514018691,0.9047619047619048,0.9225352112676056,0.8685089392457158,0.9203650935545262
support,326.0,58.0,42.0,0.9225352112676056,426.0,426.0
