,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9385964912280702,0.8478260869565217,0.9736842105263158,0.931924882629108,0.9200355962369692,0.9296974319857615
recall,0.9846625766871165,0.6724137931034483,0.8809523809523809,0.931924882629108,0.8460095835809819,0.931924882629108
f1-score,0.9610778443113772,0.75,0.925,0.931924882629108,0.8786926147704591,0.9287825756936832
support,326.0,58.0,42.0,0.931924882629108,426.0,426.0
